Daerah(x1,x2,y1,y2)
1. Aceh (36,82,142,178)
2. Sumut (74,110,178,218)
3. Riau (113,142,218,260)
4. Kepri(162,185,226,253)
5. Sumbar (91,113,231,270)
6. Jambi (125,162,257,176)
7. Bengkulu(117,128,284,327)
8. Sumsel(137,176,280,312)
9. Babel(195,235,274,307)
10. Lampung(161,197,319,346)
11. Banten(183,202,349,365)
12. Jakarta(202,211,351,358)
13. Jabar(212,238,350,383)
14. Jateng(240,289,374,383)
15. DIY(255,271,386,394)
16. Jatim(291,333,374,411)
17. Bali(333,351,398,407)
18. NTB(355,410,405,434)
19. NTT(466,508,421,456)
20. Kalbar(255,298,246,308)
21. Kalteng(298,349,283,322)
22. Kaltim(357,421,201,304)
23. Kalsel(341,375,304,334)
24. Gorontalo(494,526,251,277)
25. Sulut(459,493,260,274)
26. Sulbar(418,431,285,312)
27. Sulteng(431,497,275,318)
28. Sulsel(411,449,310,369)
29. Sul Tenggara(445,477,328,379)
30. Malut(542,595,242,319)
31. Maluku(528,611,321,357)
32. Papua Barat(612,676,300,359)
33. Papua(673,769,320,460)
